Year,Units,Sex,Age,Country,Region,Species,Fatality,Region of Birth,Ethnicity,Region of travel,Value
2004,"Incidence per 100,000",,,,,P. vivax,,,,,0.460380858
2005,"Incidence per 100,000",,,,,P. vivax,,,,,0.42705845
2006,"Incidence per 100,000",,,,,P. vivax,,,,,0.356749077
2007,"Incidence per 100,000",,,,,P. vivax,,,,,0.417488359
2008,"Incidence per 100,000",,,,,P. vivax,,,,,0.28629764
2009,"Incidence per 100,000",,,,,P. vivax,,,,,0.329261805
2010,"Incidence per 100,000",,,,,P. vivax,,,,,0.554498114
2011,"Incidence per 100,000",,,,,P. vivax,,,,,0.655762107
2012,"Incidence per 100,000",,,,,P. vivax,,,,,0.423828385
2013,"Incidence per 100,000",,,,,P. vivax,,,,,0.279226541
2014,"Incidence per 100,000",,,,,P. vivax,,,,,0.348314726
2015,"Incidence per 100,000",,,,,P. vivax,,,,,0.317923348
2016,"Incidence per 100,000",,,,,P. vivax,,,,,0.25286355
2017,"Incidence per 100,000",,,,,P. vivax,,,,,0.248333482
2000,"Incidence per 100,000",,,,,P. ovale,,,,,0.208877817
2001,"Incidence per 100,000",,,,,P. ovale,,,,,0.265592945
2002,"Incidence per 100,000",,,,,P. ovale,,,,,0.224035178
2003,"Incidence per 100,000",,,,,P. ovale,,,,,0.224693998
2004,"Incidence per 100,000",,,,,P. ovale,,,,,0.20016559
2005,"Incidence per 100,000",,,,,P. ovale,,,,,0.192010776
2006,"Incidence per 100,000",,,,,P. ovale,,,,,0.174264526
2007,"Incidence per 100,000",,,,,P. ovale,,,,,0.176127901
2008,"Incidence per 100,000",,,,,P. ovale,,,,,0.12293006
2009,"Incidence per 100,000",,,,,P. ovale,,,,,0.110824705
2010,"Incidence per 100,000",,,,,P. ovale,,,,,0.157745153
2011,"Incidence per 100,000",,,,,P. ovale,,,,,0.121671523
2012,"Incidence per 100,000",,,,,P. ovale,,,,,0.103602494
2013,"Incidence per 100,000",,,,,P. ovale,,,,,0.121674135
2014,"Incidence per 100,000",,,,,P. ovale,,,,,0.201248509
2015,"Incidence per 100,000",,,,,P. ovale,,,,,0.145906851
2016,"Incidence per 100,000",,,,,P. ovale,,,,,0.134048147
2017,"Incidence per 100,000",,,,,P. ovale,,,,,0.163536683
2000,"Incidence per 100,000",,,,,P. malariae,,,,,0.050945809
2001,"Incidence per 100,000",,,,,P. malariae,,,,,0.062591968
2002,"Incidence per 100,000",,,,,P. malariae,,,,,0.072432426
2003,"Incidence per 100,000",,,,,P. malariae,,,,,0.045274164
2004,"Incidence per 100,000",,,,,P. malariae,,,,,0.046705304
2005,"Incidence per 100,000",,,,,P. malariae,,,,,0.048002694
2006,"Incidence per 100,000",,,,,P. malariae,,,,,0.039456119
2007,"Incidence per 100,000",,,,,P. malariae,,,,,0.048924417
2008,"Incidence per 100,000",,,,,P. malariae,,,,,0.032350016
2009,"Incidence per 100,000",,,,,P. malariae,,,,,0.057821585
2010,"Incidence per 100,000",,,,,P. malariae,,,,,0.058955259
2011,"Incidence per 100,000",,,,,P. malariae,,,,,0.048984639
2012,"Incidence per 100,000",,,,,P. malariae,,,,,0.050231512
2013,"Incidence per 100,000",,,,,P. malariae,,,,,0.060837068
2014,"Incidence per 100,000",,,,,P. malariae,,,,,0.063470683
2015,"Incidence per 100,000",,,,,P. malariae,,,,,0.035324816
2016,"Incidence per 100,000",,,,,P. malariae,,,,,0.06245425
2017,"Incidence per 100,000",,,,,P. malariae,,,,,0.08328257
2000,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2001,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2002,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2003,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2004,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2005,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2006,"Incidence per 100,000",,,,,P. knowlesi,,,,,0.001644005
2007,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2008,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2009,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2010,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2011,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2012,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2013,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2014,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2015,"Incidence per 100,000",,,,,P. knowlesi,,,,,0
2016,"Incidence per 100,000",,,,,P. knowlesi,,,,,0.001523274
2017,"Incidence per 100,000",,,,,P. knowlesi,,,,,0.003028457
2000,"Incidence per 100,000",,,,,Mixed,,,,,0.027171098
2001,"Incidence per 100,000",,,,,Mixed,,,,,0.027066797
2002,"Incidence per 100,000",,,,,Mixed,,,,,0.021898175
2003,"Incidence per 100,000",,,,,Mixed,,,,,0.025152313
2004,"Incidence per 100,000",,,,,Mixed,,,,,0.020016559
2005,"Incidence per 100,000",,,,,Mixed,,,,,0.016552653
2006,"Incidence per 100,000",,,,,Mixed,,,,,0.032880099
2007,"Incidence per 100,000",,,,,Mixed,,,,,0.024462209
2008,"Incidence per 100,000",,,,,Mixed,,,,,0.014557507
2009,"Incidence per 100,000",,,,,Mixed,,,,,0.009636931
2010,"Incidence per 100,000",,,,,Mixed,,,,,0.019120625
2011,"Incidence per 100,000",,,,,Mixed,,,,,0.006320599
2012,"Incidence per 100,000",,,,,Mixed,,,,,0.010988143
2013,"Incidence per 100,000",,,,,Mixed,,,,,0.020279023
2014,"Incidence per 100,000",,,,,Mixed,,,,,0.032509374
2015,"Incidence per 100,000",,,,,Mixed,,,,,0.010751031
2016,"Incidence per 100,000",,,,,Mixed,,,,,0.019802567
2017,"Incidence per 100,000",,,,,Mixed,,,,,0.016656514
2000,"Incidence per 100,000",,,,,P. unspecified,,,,,0.001698194
2001,"Incidence per 100,000",,,,,P. unspecified,,,,,0.001691675
2002,"Incidence per 100,000",,,,,P. unspecified,,,,,0.00336895
2003,"Incidence per 100,000",,,,,P. unspecified,,,,,0.001676821
2004,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2005,"Incidence per 100,000",,,,,P. unspecified,,,,,0.004965796
2006,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2007,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2008,"Incidence per 100,000",,,,,P. unspecified,,,,,0.001617501
2009,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2010,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2011,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2012,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2013,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2014,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2015,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2016,"Incidence per 100,000",,,,,P. unspecified,,,,,0.001523274
2017,"Incidence per 100,000",,,,,P. unspecified,,,,,0
2000,"Incidence per 100,000",,,,,,Non-fatal,,,,3.449031265
2001,"Incidence per 100,000",,,,,,Non-fatal,,,,3.442558235
2002,"Incidence per 100,000",,,,,,Non-fatal,,,,3.252721265
2003,"Incidence per 100,000",,,,,,Non-fatal,,,,2.857302778
2004,"Incidence per 100,000",,,,,,Non-fatal,,,,2.753944913
2005,"Incidence per 100,000",,,,,,Non-fatal,,,,2.885127435
2006,"Incidence per 100,000",,,,,,Non-fatal,,,,2.870432664
2007,"Incidence per 100,000",,,,,,Non-fatal,,,,2.514715038
2008,"Incidence per 100,000",,,,,,Non-fatal,,,,2.206271076
2009,"Incidence per 100,000",,,,,,Non-fatal,,,,2.391565013
2010,"Incidence per 100,000",,,,,,Non-fatal,,,,2.791611196
2011,"Incidence per 100,000",,,,,,Non-fatal,,,,2.630949175
2012,"Incidence per 100,000",,,,,,Non-fatal,,,,2.158385295
2013,"Incidence per 100,000",,,,,,Non-fatal,,,,2.330527663
2014,"Incidence per 100,000",,,,,,Non-fatal,,,,2.450587608
2015,"Incidence per 100,000",,,,,,Non-fatal,,,,2.140991049
2016,"Incidence per 100,000",,,,,,Non-fatal,,,,2.455518331
2017,"Incidence per 100,000",,,,,,Non-fatal,,,,2.704412185
2014,"Incidence per 100,000",,,,,,,,,,2.449039543
2014,"Incidence per 100,000",,0 to 4,,,,,,,,0.918964699
2014,"Incidence per 100,000",,5 to 9,,,,,,,,1.088291538
2014,"Incidence per 100,000",,10 to 14,,,,,,,,1.47643636
2014,"Incidence per 100,000",,15 to 19,,,,,,,,2.389809023
2014,"Incidence per 100,000",,20 to 24,,,,,,,,3.059753509
2014,"Incidence per 100,000",,25 to 29,,,,,,,,3.483271078
2014,"Incidence per 100,000",,30 to 34,,,,,,,,3.971187087
2014,"Incidence per 100,000",,35 to 39,,,,,,,,3.630280243
2014,"Incidence per 100,000",,40 to 44,,,,,,,,3.803687801
2014,"Incidence per 100,000",,45 to 49,,,,,,,,4.044848596
2014,"Incidence per 100,000",,50 to 54,,,,,,,,3.27496273
2014,"Incidence per 100,000",,55 to 59,,,,,,,,2.810363684
2014,"Incidence per 100,000",,60 to 64,,,,,,,,1.765577951
2014,"Incidence per 100,000",,65 to 69,,,,,,,,1.235315884
2014,"Incidence per 100,000",,70 and over,,,,,,,,0.509880269
2014,"Incidence per 100,000",Male,,,,,,,,,3.406329646
2014,"Incidence per 100,000",Male,0 to 4,,,,,,,,0.921270189
2014,"Incidence per 100,000",Male,5 to 9,,,,,,,,1.164363
2014,"Incidence per 100,000",Male,10 to 14,,,,,,,,1.663900894
2014,"Incidence per 100,000",Male,15 to 19,,,,,,,,3.086001291
2014,"Incidence per 100,000",Male,20 to 24,,,,,,,,4.237830705
2014,"Incidence per 100,000",Male,25 to 29,,,,,,,,4.733268918
2014,"Incidence per 100,000",Male,30 to 34,,,,,,,,5.824585669
2014,"Incidence per 100,000",Male,35 to 39,,,,,,,,5.732068055
2014,"Incidence per 100,000",Male,40 to 44,,,,,,,,4.836030917
2014,"Incidence per 100,000",Male,45 to 49,,,,,,,,5.862693121
2014,"Incidence per 100,000",Male,50 to 54,,,,,,,,4.767340178
2014,"Incidence per 100,000",Male,55 to 59,,,,,,,,3.899631906
2014,"Incidence per 100,000",Male,60 to 64,,,,,,,,2.443596555
2014,"Incidence per 100,000",Male,65 to 69,,,,,,,,1.559848799
2014,"Incidence per 100,000",Male,70 and over,,,,,,,,0.733376123
2014,"Incidence per 100,000",Female,,,,,,,,,1.521202329
2014,"Incidence per 100,000",Female,0 to 4,,,,,,,,0.916543612
2014,"Incidence per 100,000",Female,5 to 9,,,,,,,,1.008529506
2014,"Incidence per 100,000",Female,10 to 14,,,,,,,,1.279812356
2014,"Incidence per 100,000",Female,15 to 19,,,,,,,,1.655088168
2014,"Incidence per 100,000",Female,20 to 24,,,,,,,,1.840009738
2014,"Incidence per 100,000",Female,25 to 29,,,,,,,,2.232132689
2014,"Incidence per 100,000",Female,30 to 34,,,,,,,,2.143049952
2014,"Incidence per 100,000",Female,35 to 39,,,,,,,,1.545848624
2014,"Incidence per 100,000",Female,40 to 44,,,,,,,,2.79370641
2014,"Incidence per 100,000",Female,45 to 49,,,,,,,,2.278563695
2014,"Incidence per 100,000",Female,50 to 54,,,,,,,,1.817714291
2014,"Incidence per 100,000",Female,55 to 59,,,,,,,,1.747798802
2014,"Incidence per 100,000",Female,60 to 64,,,,,,,,1.11556096
2014,"Incidence per 100,000",Female,65 to 69,,,,,,,,0.928502571
2014,"Incidence per 100,000",Female,70 and over,,,,,,,,0.338135839
2015,"Incidence per 100,000",,,,,,,,,,2.136383464
2015,"Incidence per 100,000",,0 to 4,,,,,,,,0.521468097
2015,"Incidence per 100,000",,5 to 9,,,,,,,,0.809215754
2015,"Incidence per 100,000",,10 to 14,,,,,,,,1.690497516
2015,"Incidence per 100,000",,15 to 19,,,,,,,,2.327483156
2015,"Incidence per 100,000",,20 to 24,,,,,,,,2.607875832
2015,"Incidence per 100,000",,25 to 29,,,,,,,,2.409240315
2015,"Incidence per 100,000",,30 to 34,,,,,,,,3.103943537
2015,"Incidence per 100,000",,35 to 39,,,,,,,,3.407749762
2015,"Incidence per 100,000",,40 to 44,,,,,,,,3.721480666
2015,"Incidence per 100,000",,45 to 49,,,,,,,,3.519951973
2015,"Incidence per 100,000",,50 to 54,,,,,,,,3.110394698
2015,"Incidence per 100,000",,55 to 59,,,,,,,,2.429972496
2015,"Incidence per 100,000",,60 to 64,,,,,,,,1.570657154
2015,"Incidence per 100,000",,65 to 69,,,,,,,,1.244954821
2015,"Incidence per 100,000",,70 and over,,,,,,,,0.425181872
2015,"Incidence per 100,000",Male,,,,,,,,,2.974330499
2015,"Incidence per 100,000",Male,0 to 4,,,,,,,,0.678383644
2015,"Incidence per 100,000",Male,5 to 9,,,,,,,,0.988174516
2015,"Incidence per 100,000",Male,10 to 14,,,,,,,,1.816638426
2015,"Incidence per 100,000",Male,15 to 19,,,,,,,,3.309119067
2015,"Incidence per 100,000",Male,20 to 24,,,,,,,,3.748189327
2015,"Incidence per 100,000",Male,25 to 29,,,,,,,,3.005558489
2015,"Incidence per 100,000",Male,30 to 34,,,,,,,,4.680853017
2015,"Incidence per 100,000",Male,35 to 39,,,,,,,,4.828587604
2015,"Incidence per 100,000",Male,40 to 44,,,,,,,,5.590686574
2015,"Incidence per 100,000",Male,45 to 49,,,,,,,,5.082422879
2015,"Incidence per 100,000",Male,50 to 54,,,,,,,,4.085357324
2015,"Incidence per 100,000",Male,55 to 59,,,,,,,,2.973419679
2015,"Incidence per 100,000",Male,60 to 64,,,,,,,,2.332877061
2015,"Incidence per 100,000",Male,65 to 69,,,,,,,,1.595488869
2015,"Incidence per 100,000",Male,70 and over,,,,,,,,0.571864823
2015,"Incidence per 100,000",Female,,,,,,,,,1.322815828
2015,"Incidence per 100,000",Female,0 to 4,,,,,,,,0.356531115
2015,"Incidence per 100,000",Female,5 to 9,,,,,,,,0.621596758
2015,"Incidence per 100,000",Female,10 to 14,,,,,,,,1.558253579
2015,"Incidence per 100,000",Female,15 to 19,,,,,,,,1.290597353
2015,"Incidence per 100,000",Female,20 to 24,,,,,,,,1.423852375
2015,"Incidence per 100,000",Female,25 to 29,,,,,,,,1.808292922
2015,"Incidence per 100,000",Female,30 to 34,,,,,,,,1.543747301
2015,"Incidence per 100,000",Female,35 to 39,,,,,,,,2.000625561
2015,"Incidence per 100,000",Female,40 to 44,,,,,,,,1.888683744
2015,"Incidence per 100,000",Female,45 to 49,,,,,,,,2.001389049
2015,"Incidence per 100,000",Female,50 to 54,,,,,,,,2.161328474
2015,"Incidence per 100,000",Female,55 to 59,,,,,,,,1.899956301
2015,"Incidence per 100,000",Female,60 to 64,,,,,,,,0.839349605
2015,"Incidence per 100,000",Female,65 to 69,,,,,,,,0.914154936
2015,"Incidence per 100,000",Female,70 and over,,,,,,,,0.31116311
2016,"Incidence per 100,000",,,,,,,,,,2.457041606
2016,"Incidence per 100,000",,0 to 4,,,,,,,,0.622771413
2016,"Incidence per 100,000",,5 to 9,,,,,,,,0.569665651
2016,"Incidence per 100,000",,10 to 14,,,,,,,,1.489629695
2016,"Incidence per 100,000",,15 to 19,,,,,,,,2.302240821
2016,"Incidence per 100,000",,20 to 24,,,,,,,,2.891565585
2016,"Incidence per 100,000",,25 to 29,,,,,,,,3.369804072
2016,"Incidence per 100,000",,30 to 34,,,,,,,,3.493518729
2016,"Incidence per 100,000",,35 to 39,,,,,,,,4.282771034
2016,"Incidence per 100,000",,40 to 44,,,,,,,,4.456087771
2016,"Incidence per 100,000",,45 to 49,,,,,,,,4.134962581
2016,"Incidence per 100,000",,50 to 54,,,,,,,,3.626957883
2016,"Incidence per 100,000",,55 to 59,,,,,,,,2.852446157
2016,"Incidence per 100,000",,60 to 64,,,,,,,,1.895743716
2016,"Incidence per 100,000",,65 to 69,,,,,,,,0.852464047
2016,"Incidence per 100,000",,70 and over,,,,,,,,0.69702875
2016,"Incidence per 100,000",Male,,,,,,,,,3.224444103
2016,"Incidence per 100,000",Male,0 to 4,,,,,,,,0.971874912
2016,"Incidence per 100,000",Male,5 to 9,,,,,,,,0.483821493
2016,"Incidence per 100,000",Male,10 to 14,,,,,,,,1.56197906
2016,"Incidence per 100,000",Male,15 to 19,,,,,,,,2.835688846
2016,"Incidence per 100,000",Male,20 to 24,,,,,,,,3.537902189
2016,"Incidence per 100,000",Male,25 to 29,,,,,,,,3.824439753
2016,"Incidence per 100,000",Male,30 to 34,,,,,,,,4.63791523
2016,"Incidence per 100,000",Male,35 to 39,,,,,,,,6.057270046
2016,"Incidence per 100,000",Male,40 to 44,,,,,,,,5.896899004
2016,"Incidence per 100,000",Male,45 to 49,,,,,,,,5.928970928
2016,"Incidence per 100,000",Male,50 to 54,,,,,,,,5.171464734
2016,"Incidence per 100,000",Male,55 to 59,,,,,,,,3.985705268
2016,"Incidence per 100,000",Male,60 to 64,,,,,,,,2.137131034
2016,"Incidence per 100,000",Male,65 to 69,,,,,,,,0.963690959
2016,"Incidence per 100,000",Male,70 and over,,,,,,,,0.806464172
2016,"Incidence per 100,000",Female,,,,,,,,,1.71022994
2016,"Incidence per 100,000",Female,0 to 4,,,,,,,,0.255566755
2016,"Incidence per 100,000",Female,5 to 9,,,,,,,,0.659704919
2016,"Incidence per 100,000",Female,10 to 14,,,,,,,,1.413672931
2016,"Incidence per 100,000",Female,15 to 19,,,,,,,,1.739732723
2016,"Incidence per 100,000",Female,20 to 24,,,,,,,,2.21439162
2016,"Incidence per 100,000",Female,25 to 29,,,,,,,,2.907230282
2016,"Incidence per 100,000",Female,30 to 34,,,,,,,,2.354113973
2016,"Incidence per 100,000",Female,35 to 39,,,,,,,,2.524540438
2016,"Incidence per 100,000",Female,40 to 44,,,,,,,,3.040118641
2016,"Incidence per 100,000",Female,45 to 49,,,,,,,,2.390922691
2016,"Incidence per 100,000",Female,50 to 54,,,,,,,,2.127452261
2016,"Incidence per 100,000",Female,55 to 59,,,,,,,,1.747986902
2016,"Incidence per 100,000",Female,60 to 64,,,,,,,,1.663948883
2016,"Incidence per 100,000",Female,65 to 69,,,,,,,,0.747677127
2016,"Incidence per 100,000",Female,70 and over,,,,,,,,0.611137012
2017,"Incidence per 100,000",,,,,,,,,,2.692298357
2017,"Incidence per 100,000",,0 to 4,,,,,,,,0.984664233
2017,"Incidence per 100,000",,5 to 9,,,,,,,,1.288457415
2017,"Incidence per 100,000",,10 to 14,,,,,,,,1.633905522
2017,"Incidence per 100,000",,15 to 19,,,,,,,,2.024709555
2017,"Incidence per 100,000",,20 to 24,,,,,,,,2.780924474
2017,"Incidence per 100,000",,25 to 29,,,,,,,,3.280501842
2017,"Incidence per 100,000",,30 to 34,,,,,,,,3.821554654
2017,"Incidence per 100,000",,35 to 39,,,,,,,,3.783100377
2017,"Incidence per 100,000",,40 to 44,,,,,,,,4.828339
2017,"Incidence per 100,000",,45 to 49,,,,,,,,4.480941898
2017,"Incidence per 100,000",,50 to 54,,,,,,,,4.26296176
2017,"Incidence per 100,000",,55 to 59,,,,,,,,3.728210581
2017,"Incidence per 100,000",,60 to 64,,,,,,,,2.556504303
2017,"Incidence per 100,000",,65 to 69,,,,,,,,1.381852477
2017,"Incidence per 100,000",,70 and over,,,,,,,,0.669350017
2017,"Incidence per 100,000",Male,,,,,,,,,3.64620728
2017,"Incidence per 100,000",Male,0 to 4,,,,,,,,0.984677434
2017,"Incidence per 100,000",Male,5 to 9,,,,,,,,1.329984306
2017,"Incidence per 100,000",Male,10 to 14,,,,,,,,2.142973998
2017,"Incidence per 100,000",Male,15 to 19,,,,,,,,2.734490443
2017,"Incidence per 100,000",Male,20 to 24,,,,,,,,3.382037766
2017,"Incidence per 100,000",Male,25 to 29,,,,,,,,4.358308767
2017,"Incidence per 100,000",Male,30 to 34,,,,,,,,4.811070182
2017,"Incidence per 100,000",Male,35 to 39,,,,,,,,5.690989611
2017,"Incidence per 100,000",Male,40 to 44,,,,,,,,7.051934018
2017,"Incidence per 100,000",Male,45 to 49,,,,,,,,6.296924839
2017,"Incidence per 100,000",Male,50 to 54,,,,,,,,6.00394433
2017,"Incidence per 100,000",Male,55 to 59,,,,,,,,4.990750153
2017,"Incidence per 100,000",Male,60 to 64,,,,,,,,3.629235076
2017,"Incidence per 100,000",Male,65 to 69,,,,,,,,1.545600567
2017,"Incidence per 100,000",Male,70 and over,,,,,,,,0.848464505
2017,"Incidence per 100,000",Female,,,,,,,,,1.763382308
2017,"Incidence per 100,000",Female,0 to 4,,,,,,,,0.984650338
2017,"Incidence per 100,000",Female,5 to 9,,,,,,,,1.244921963
2017,"Incidence per 100,000",Female,10 to 14,,,,,,,,1.098806312
2017,"Incidence per 100,000",Female,15 to 19,,,,,,,,1.275934053
2017,"Incidence per 100,000",Female,20 to 24,,,,,,,,2.147627945
2017,"Incidence per 100,000",Female,25 to 29,,,,,,,,2.180180822
2017,"Incidence per 100,000",Female,30 to 34,,,,,,,,2.839075777
2017,"Incidence per 100,000",Female,35 to 39,,,,,,,,1.90163977
2017,"Incidence per 100,000",Female,40 to 44,,,,,,,,2.639638076
2017,"Incidence per 100,000",Female,45 to 49,,,,,,,,2.715678777
2017,"Incidence per 100,000",Female,50 to 54,,,,,,,,2.574244807
2017,"Incidence per 100,000",Female,55 to 59,,,,,,,,2.49941641
2017,"Incidence per 100,000",Female,60 to 64,,,,,,,,1.525713448
2017,"Incidence per 100,000",Female,65 to 69,,,,,,,,1.22808702
2017,"Incidence per 100,000",Female,70 and over,,,,,,,,0.526958679
2014,"Incidence per 100,000",,,England,London,,,,,,9.122422916
2014,"Incidence per 100,000",,,England,South East,,,,,,1.498759579
2014,"Incidence per 100,000",,,England,West Midlands,,,,,,2.012798246
2014,"Incidence per 100,000",,,England,North West,,,,,,1.696334767
2014,"Incidence per 100,000",,,England,East of England,,,,,,1.877934272
2014,"Incidence per 100,000",,,England,Yorkshire and Humber,,,,,,1.809661991
2014,"Incidence per 100,000",,,England,South West,,,,,,1.087902925
2014,"Incidence per 100,000",,,England,East Midlands,,,,,,1.03506967
2014,"Incidence per 100,000",,,England,North East,,,,,,0.381863617
2014,"Incidence per 100,000",,,England,,,,,,,2.715559352
2014,"Incidence per 100,000",,,Scotland,,,,,,,1.421198295
2014,"Incidence per 100,000",,,Wales,,,,,,,1.067257949
2014,"Incidence per 100,000",,,Northern Ireland,,,,,,,0.108666241
2014,"Incidence per 100,000",,,,,,,,,,2.455231805
2015,"Incidence per 100,000",,,England,London,,,,,,7.857453562
2015,"Incidence per 100,000",,,England,South East,,,,,,1.340873212
2015,"Incidence per 100,000",,,England,West Midlands,,,,,,2.119883955
2015,"Incidence per 100,000",,,England,North West,,,,,,1.588810758
2015,"Incidence per 100,000",,,England,East of England,,,,,,1.892701906
2015,"Incidence per 100,000",,,England,Yorkshire and Humber,,,,,,1.261546162
2015,"Incidence per 100,000",,,England,South West,,,,,,0.950360132
2015,"Incidence per 100,000",,,England,East Midlands,,,,,,0.833792097
2015,"Incidence per 100,000",,,England,North East,,,,,,0.304810791
2015,"Incidence per 100,000",,,England,,,,,,,2.407535004
2015,"Incidence per 100,000",,,Scotland,,,,,,,0.911967244
2015,"Incidence per 100,000",,,Wales,,,,,,,0.677619143
2015,"Incidence per 100,000",,,Northern Ireland,,,,,,,0.594074057
2015,"Incidence per 100,000",,,,,,,,,,2.150206219
2016,"Incidence per 100,000",,,England,London,,,,,,9.612688475
2016,"Incidence per 100,000",,,England,South East,,,,,,1.561401793
2016,"Incidence per 100,000",,,England,West Midlands,,,,,,2.030710888
2016,"Incidence per 100,000",,,England,North West,,,,,,1.481181861
2016,"Incidence per 100,000",,,England,East of England,,,,,,1.990535168
2016,"Incidence per 100,000",,,England,Yorkshire and Humber,,,,,,1.253370738
2016,"Incidence per 100,000",,,England,South West,,,,,,1.178182311
2016,"Incidence per 100,000",,,England,East Midlands,,,,,,0.909977801
